"","area_name","iso3c","area_km2","year","NAME_1","mean_obs","sum","min","mean","max"
"68","Ukraine","UKR",21796.4331582956,2006,"L'viv",42.4939082015785,89004,0,2.27335189394907,60
"69","Ukraine","UKR",27067.6592370656,2006,"Luhans'k",47.8614880380777,141536,0,2.95469917748737,58
"70","Ukraine","UKR",23741.1297844088,2006,"Mykolayiv",46.8783120706575,69787,0,1.71214425907753,55
"71","Ukraine","UKR",33330.7881345435,2006,"Odessa",43.0123858730271,100983,0,1.78680373699483,62
"72","Ukraine","UKR",28907.301039127,2006,"Poltava",47.3332048118445,136654,0,2.63444632942628,51
"73","Ukraine","UKR",20128.5178636952,2006,"Rivne",43.1288247799995,33548,0,0.902823003848327,51
"74","Ukraine","UKR",778.13627474354,2006,"Sevastopol'",47.1396078431373,12480,0,9.78823529411765,57
"75","Ukraine","UKR",23735.8295239653,2006,"Sumy",48.5959741029499,63229,0,1.44141248347239,50
"76","Ukraine","UKR",13913.8508760395,2006,"Ternopil'",41.7920512717159,44593,0,1.79745253738563,51
"77","Ukraine","UKR",12778.1487923475,2006,"Transcarpathia",41.6675167785235,51721,0,2.31413870246085,46
"78","Ukraine","UKR",26564.6319344462,2006,"Vinnytsya",45.8490425373293,76598,0,1.63158455279358,48
"79","Ukraine","UKR",20339.1435133018,2006,"Volyn",40.2893751493746,29274,0,0.777385346681892,51
"80","Ukraine","UKR",26729.7995788012,2006,"Zaporizhzhya",45.68693846322,100741,0,2.20222975188545,59
"81","Ukraine","UKR",30062.8221886181,2006,"Zhytomyr",47.8181124257129,49429,0,0.898333424204424,49
